Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Sunday,July,17,1:00 PM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,6814,2022-07-17
2022,Sunday,July,17,3:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200,2022-07-17
2022,Sunday,July,17,6:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7963,2022-07-17
2022,Sunday,July,17,6:00 PM,Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,9970,2022-07-17
2022,Tuesday,July,19,7:00 AM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,6288,2022-07-19
2022,Tuesday,July,19,10:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,5952,2022-07-19
2022,Tuesday,July,19,6:00 AM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,5478,2022-07-19
2022,Wednesday,July,20,12:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,8893,2022-07-20
2022,Thursday,July,21,7:00 AM,Regular season,Washington Mystics,New York Liberty,Capital One Arena,Washington,DC,7431,2022-07-21
2022,Thursday,July,21,11:00 AM,Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,10021,2022-07-21
2022,Thursday,July,21,10:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,5737,2022-07-21
2022,Friday,July,22,8:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8321,2022-07-22
2022,Friday,July,22,8:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,7014,2022-07-22
2022,Friday,July,22,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,14162,2022-07-22
2022,Saturday,July,23,7:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,6926,2022-07-23
2022,Saturday,July,23,10:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,7522,2022-07-23
2022,Sunday,July,24,3:00 PM,Regular season,Indiana Fever,Dallas Wings,Hinkle Fieldhouse,Indianapolis,IN,1159,2022-07-24
2022,Sunday,July,24,6:00 PM,Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,12654,2022-07-24
2022,Sunday,July,24,7:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,7231,2022-07-24
2022,Thursday,July,28,7:00 PM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,2396,2022-07-28
2022,Thursday,July,28,7:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,9137,2022-07-28
2022,Thursday,July,28,8:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4382,2022-07-28
2022,Thursday,July,28,10:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,8124,2022-07-28
2022,Friday,July,29,7:00 PM,Regular season,Indiana Fever,Las Vegas Aces,Hinkle Fieldhouse,Indianapolis,IN,1828,2022-07-29
2022,Friday,July,29,8:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,6924,2022-07-29
2022,Saturday,July,30,12:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2022-07-30
2022,Saturday,July,30,3:00 AM,Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-07-30
2022,Sunday,July,31,1:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6254,2022-07-31
2022,Sunday,July,31,2:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,6433,2022-07-31
2022,Sunday,July,31,3:00 PM,Regular season,Indiana Fever,Las Vegas Aces,Hinkle Fieldhouse,Indianapolis,IN,1822,2022-07-31
2022,Sunday,July,31,3:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2022-07-31
2022,Sunday,July,31,7:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,6857,2022-07-31
2022,Tuesday,August,2,7:00 PM,Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,6130,2022-08-02
2022,Tuesday,August,2,7:00 PM,Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,4891,2022-08-02
2022,Tuesday,August,2,7:00 PM,Regular season,Washington Mystics,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,4200,2022-08-02
2022,Tuesday,August,2,9:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,5602,2022-08-02
2022,Wednesday,August,3,7:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,2071,2022-08-03
2022,Wednesday,August,3,7:00 PM,Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,5315,2022-08-03
2022,Wednesday,August,3,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,13500,2022-08-03
2022,Thursday,August,4,7:00 PM,Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,6215,2022-08-04
2022,Thursday,August,4,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,3492,2022-08-04
2022,Friday,August,5,3:00 AM,Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-08-05
2022,Friday,August,5,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,8042,2022-08-05
